Angol,Magyar,Magyar - egyéb jelentés,Fordító
drawback,hátrány,,https://translate.google.com/#en/hu/drawback
angle,szög,szempont,https://translate.google.com/#en/hu/angle
from the ground up,az alapoktól kezdve,,https://translate.google.com/#en/hu/from%20the%20ground%20up
along the way,az út mentén,,https://translate.google.com/#en/hu/along%20the%20way
pampering,dédelgetés,,https://translate.google.com/#en/hu/pampering
exploration,felfedezés,,https://translate.google.com/#en/hu/exploration
evaluate,értékel,,https://translate.google.com/#en/hu/evaluate
concise,tömör,,https://translate.google.com/#en/hu/concise
to imply,utalni,,https://translate.google.com/#en/hu/to%20imply
trade-off,kompromisszum,,https://translate.google.com/#en/hu/trade-off
trade-off between security and convenience,kompromisszumot a biztonság és a kényelem,,https://translate.google.com/#en/hu/trade-off%20between%20security%20and%20convenience
burden,teher,,https://translate.google.com/#en/hu/burden
abbreviation,rövidítés,,https://translate.google.com/#en/hu/abbreviation
instinct,ösztön,,https://translate.google.com/#en/hu/instinct
resign,lemond,,https://translate.google.com/#en/hu/resign
convict point of view,fegyenc szempontból,,https://translate.google.com/#en/hu/convict%20point%20of%20view
to hatch,kikel,kinyit,https://translate.google.com/#en/hu/to%20hatch
compound,összetett,épületkomplexum,https://translate.google.com/#en/hu/compound
discipline,fegyelem,,https://translate.google.com/#en/hu/discipline
obtain,szerezni,,https://translate.google.com/#en/hu/obtain
to neglect,elhanyagolni,,https://translate.google.com/#en/hu/to%20neglect
round out the experience,egészítik ki az élményt,,https://translate.google.com/#en/hu/round%20out%20the%20experience
required a bit of ceremony,szükséges egy kis ünnepség,,https://translate.google.com/#en/hu/required%20a%20bit%20of%20ceremony
on a per-project basis,a per-projekt alapon,,https://translate.google.com/#en/hu/on%20a%20per-project%20basis
takes place,zajlik,,https://translate.google.com/#en/hu/takes%20place
tilted,megdöntött,,https://translate.google.com/#en/hu/tilted
cumbersome,"nehézkes, ormótlan",,https://translate.google.com/#en/hu/cumbersome
denoting,jelölő,"jelent, jelez, kifejez",https://translate.google.com/#en/hu/denoting
fennel,édeskömény,ánizskapor,https://translate.google.com/#en/hu/fennel
pod,hüvely,,https://translate.google.com/#en/hu/pod
celery,zeller,,https://translate.google.com/#en/hu/celery
licorice,édesgyökér,,https://translate.google.com/#en/hu/licorice
lax,laza,,https://translate.google.com/#en/hu/lax
culpability,bűnösség,,https://translate.google.com/#en/hu/culpability
first-degree murder,Emberölésnél,első fokú gyilkosság,https://translate.google.com/#en/hu/first-degree%20murder
avenues,utakat,,https://translate.google.com/#en/hu/avenues
the incident leaves her badly shaken,az eset rendkívül megrázkódtatja,,https://translate.google.com/#en/hu/the%20incident%20leaves%20her%20badly%20shaken
abusive,gyalázkodó,,https://translate.google.com/#en/hu/abusive
abuse,visszaélés,,https://translate.google.com/#en/hu/abuse
slip inside the house,csúszik a házban,,https://translate.google.com/#en/hu/slip%20inside%20the%20house
revive,feléleszt,,https://translate.google.com/#en/hu/revive
custody,őrizet,,https://translate.google.com/#en/hu/custody
trial,próba,tárgyalás,https://translate.google.com/#en/hu/trial
sentence,"mondat, ítélet",ítélet,https://translate.google.com/#en/hu/sentence
taunt,gúnyolódás,,https://translate.google.com/#en/hu/taunt
pulverized,porított,,https://translate.google.com/#en/hu/pulverized
escape hatch,menekülőnyílást,,https://translate.google.com/#en/hu/escape%20hatch
pierces the component abstraction,átszúrja a komponens absztrakció,,https://translate.google.com/#en/hu/pierces%20the%20component%20abstraction
a component that has yet to be created,"olyan komponens, amely még létre kell hozni",még nem jött létre; létrehozandó,https://translate.google.com/#en/hu/a%20component%20that%20has%20yet%20to%20be%20created
allocate,kioszt,"kioszt, helyet megállapít",https://translate.google.com/#en/hu/allocate
rudimentary,kezdetleges,,https://translate.google.com/#en/hu/rudimentary
agnostic,"kétségbe vonó, megkérdőjelező",szabadgondolkodó,https://translate.google.com/#en/hu/agnostic
obligatory,kötelező,,https://translate.google.com/#en/hu/obligatory
ambient,környező,,https://translate.google.com/#en/hu/ambient
future reference,jövőbeli hivatkozás,,https://translate.google.com/#en/hu/future%20reference
insight,bepillantás,,https://translate.google.com/#en/hu/insight
regression,regresszió,visszafejlődés,https://translate.google.com/#en/hu/regression
unwieldy,ormótlan,,https://translate.google.com/#en/hu/unwieldy
overhaul,nagyjavítás,,https://translate.google.com/#en/hu/overhaul
miscellaneous,vegyes,,https://translate.google.com/#en/hu/miscellaneous
batch,"tétel, halom, csomó, köteg","halom, csomó",https://translate.google.com/#en/hu/batch
comprehend,megért,felfog,https://translate.google.com/#en/hu/comprehend
encompass,felölel,tartalmaz,https://translate.google.com/#en/hu/encompass
boast,dicsekszik,,https://translate.google.com/#en/hu/boast
idiomatic,nyelvi,,https://translate.google.com/#en/hu/idiomatic
hatch,nyílás,,https://translate.google.com/#en/hu/hatch
arbitrary,tetszőleges,önkényes,https://translate.google.com/#en/hu/arbitrary
clash,összecsapás,,https://translate.google.com/#en/hu/clash
intact,ép,sértetlen,https://translate.google.com/#en/hu/intact
to outweigh,felülmúlják,túlsúlyba kerül,https://translate.google.com/#en/hu/to%20outweigh
resemble,"hasonlít, egybevág",egybevág,https://translate.google.com/#en/hu/resemble
only as applicable,csak adott esetben,csak adott esetben,https://translate.google.com/#en/hu/only%20as%20applicable
syllable,szótag,,https://translate.google.com/#en/hu/syllable
to strive,törekedni,,https://translate.google.com/#en/hu/to%20strive
compelling,"kényszerítő, ellenállhatatlan, késztető",,https://translate.google.com/#en/hu/compelling
meaningless,értelmetlen,,https://translate.google.com/#en/hu/meaningless
notion,"elképzelés, szándék, fogalom",,https://translate.google.com/#en/hu/notion
thus,és így,ennél fogva,https://translate.google.com/#en/hu/thus
undue,"indokolatlan, jogtalan",,https://translate.google.com/#en/hu/undue
whereby,miáltal,"minélfogva, amitől, miből",https://translate.google.com/#en/hu/whereby
suppress,elnyom,,https://translate.google.com/#en/hu/suppress
the front door is having work done on it,a bejárati ajtón munka van végezve,a bejárati ajtón munka van végezve,https://translate.google.com/#en/hu/the%20front%20door%20is%20having%20work%20done%20on%20it
prone to mishaps,hajlamos bajokra,,https://translate.google.com/#en/hu/prone%20to%20mishaps
in due course,kellő időben,,https://translate.google.com/#en/hu/in%20due%20course
course,tanfolyam,,https://translate.google.com/#en/hu/course
fulfill,eleget tesz,teljesül,https://translate.google.com/#en/hu/fulfill
single clear answer,Egyetlen egyértelmű választ,,https://translate.google.com/#en/hu/single%20clear%20answer
emphasize,hangsúlyt helyez,,https://translate.google.com/#en/hu/emphasize
seamless,zökkenőmentes,,https://translate.google.com/#en/hu/seamless
to reason about something,érvelni valami,,https://translate.google.com/#en/hu/to%20reason%20about%20something
anticipate,"megérez, számít, előre jelez","megérez, elébe vág",https://translate.google.com/#en/hu/anticipate
reside,lakik,"vele jár, tartozik hozzá",https://translate.google.com/#en/hu/reside
"From a technical point of view, this is a high priority","Egy műszaki szempontból, ez egy kiemelt",,https://translate.google.com/#en/hu/From%20a%20technical%20point%20of%20view%2C%20this%20is%20a%20high%20priority
to be fair,hogy tisztességes,,https://translate.google.com/#en/hu/to%20be%20fair
whatever,tök mindegy,,https://translate.google.com/#en/hu/whatever
recurring,ismétlődő,,https://translate.google.com/#en/hu/recurring
subsequent,későbbi,,https://translate.google.com/#en/hu/subsequent
caveat,ellentmondás,,https://translate.google.com/#en/hu/caveat
stay out of,kimaradni,,https://translate.google.com/#en/hu/stay%20out%20of
verify,ellenőrizze,,https://translate.google.com/#en/hu/verify
somewhat,némileg,,https://translate.google.com/#en/hu/somewhat
jiggery-pokery,mesterkedés,,https://translate.google.com/#en/hu/jiggery-pokery
deceitful,csaló,,https://translate.google.com/#en/hu/deceitful
dishonest,tisztességtelen,,https://translate.google.com/#en/hu/dishonest
disguised,"rejtett, álruhában",álruhába,https://translate.google.com/#en/hu/disguised
pivot,tengely,"lényeg, sarkpont",https://translate.google.com/#en/hu/pivot
manage,kezel,,https://translate.google.com/#en/hu/manage
horrendous,borzasztó,,https://translate.google.com/#en/hu/horrendous
outrageous,felháborító,,https://translate.google.com/#en/hu/outrageous
feasible,megvalósítható,,https://translate.google.com/#en/hu/feasible
lean,sovány,"szikár, vézna, dől, támaszt, lejtő",https://translate.google.com/#en/hu/lean
intention,szándék,,https://translate.google.com/#en/hu/intention
aligned,igazított,,https://translate.google.com/#en/hu/aligned
it is aligned with the above,hogy egy vonalba essen a fenti,összhangban van a fentiekkel,https://translate.google.com/#en/hu/it%20is%20aligned%20with%20the%20above
we can take advantage of,előnyünkre fordíthatjuk,,https://translate.google.com/#en/hu/we%20can%20take%20advantage%20of
fellow,fickó,,https://translate.google.com/#en/hu/fellow
collateral,járulékos,párhuzamos,https://translate.google.com/#en/hu/collateral
appeal,"fellebbezés, vonzó","felhívás, vonzerő",https://translate.google.com/#en/hu/appeal
venerable,tiszteletreméltó,,https://translate.google.com/#en/hu/venerable
honorable,tiszteletreméltó,,https://translate.google.com/#en/hu/honorable
graceful,kecses,"elegáns, könnyed, bájos",https://translate.google.com/#en/hu/graceful
dainty,kecses,finom,https://translate.google.com/#en/hu/dainty
The intention here is to ...,"A cél itt az, hogy ...",,https://translate.google.com/#en/hu/The%20intention%20here%20is%20to%20...
absence,távollét,hiány,https://translate.google.com/#en/hu/absence
absence of something,"valami távollétében, hiányában",,https://translate.google.com/#en/hu/absence%20of%20something
cognition,megismerés,,https://translate.google.com/#en/hu/cognition
too big of a concern to ignore it,túlságosan kockázatos figyelmen kívül hagyni,,https://translate.google.com/#en/hu/too%20big%20of%20a%20concern%20to%20ignore%20it
to align,igazítani,,https://translate.google.com/#en/hu/to%20align
conspicuous,feltűnő,,https://translate.google.com/#en/hu/conspicuous
inconspicuous,nem feltűnő,,https://translate.google.com/#en/hu/inconspicuous
tradeoff,elad,,https://translate.google.com/#en/hu/tradeoff
foresee,előre lát,,https://translate.google.com/#en/hu/foresee
it is due quite soon,hamarosan esedékes,,https://translate.google.com/#en/hu/it%20is%20due%20quite%20soon
excess,többlet,,https://translate.google.com/#en/hu/excess
notably,nevezetesen,,https://translate.google.com/#en/hu/notably
socket,foglalat,,https://translate.google.com/#en/hu/socket
deceive,becsap,,https://translate.google.com/#en/hu/deceive
fundamentally,alapvetően,,https://translate.google.com/#en/hu/fundamentally
remittance,átutalás,,https://translate.google.com/#en/hu/remittance
guesswork,találgatás,,https://translate.google.com/#en/hu/guesswork
versatile,sokoldalú,,https://translate.google.com/#en/hu/versatile
leverage,tőkeáttétel,"befolyás, kihasznál",https://translate.google.com/#en/hu/leverage
undoubtedly odd,kétségtelenül páratlan,,https://translate.google.com/#en/hu/undoubtedly%20odd
beforehand,előzetesen,,https://translate.google.com/#en/hu/beforehand
let's see where we get to,"nézzük, meddig jutunk el",,https://translate.google.com/#en/hu/let's%20see%20where%20we%20get%20to
to flash something out,több részletet/infot hozzáadni,,https://translate.google.com/#en/hu/to%20flash%20something%20out
it is to do with,ez köze,,https://translate.google.com/#en/hu/it%20is%20to%20do%20with
for the time being,egyelőre,,https://translate.google.com/#en/hu/for%20the%20time%20being
metrics,mérőszámok,,https://translate.google.com/#en/hu/metrics
measurement of value,mérési érték,,https://translate.google.com/#en/hu/measurement%20of%20value
in conjunction with,összefüggésben a,,https://translate.google.com/#en/hu/in%20conjunction%20with
if you are yet to receive things,ha még kapni dolgokat,,https://translate.google.com/#en/hu/if%20you%20are%20yet%20to%20receive%20things
intimidating,megfélemlítő,,https://translate.google.com/#en/hu/intimidating
conducive,elősegítő,,https://translate.google.com/#en/hu/conducive
forecast,előrejelzés,,https://translate.google.com/#en/hu/forecast
business revenue,üzleti bevétel,,https://translate.google.com/#en/hu/business%20revenue
wastage,hulladék,,https://translate.google.com/#en/hu/wastage
decommission,leszerelésére,,https://translate.google.com/#en/hu/decommission
retract,visszahúzódik,,https://translate.google.com/#en/hu/retract
come along,jön,,https://translate.google.com/#en/hu/come%20along
trail,"nyom, sáv, útvonal, követés",,https://translate.google.com/#en/hu/trail
doesn't make sense with the fact ...,nincs értelme e tény a fényében,,https://translate.google.com/#en/hu/doesn't%20make%20sense%20with%20the%20fact%20...
innermost,legbelső,,https://translate.google.com/#en/hu/innermost
rightmost,jobbszélső,,https://translate.google.com/#en/hu/rightmost
stream of work,patak munka,,https://translate.google.com/#en/hu/stream%20of%20work
relic,ereklye,,https://translate.google.com/#en/hu/relic
exhaustive,kimerítő,,https://translate.google.com/#en/hu/exhaustive
derived,származtatott,,https://translate.google.com/#en/hu/derived
kudos,dicsőség,,https://translate.google.com/#en/hu/kudos
strive,törekszünk,,https://translate.google.com/#en/hu/strive
adequate,megfelelő,elégséges,https://translate.google.com/#en/hu/adequate
completely missed the point of ,teljesen kimaradt a lényeg a,,https://translate.google.com/#en/hu/completely%20missed%20the%20point%20of%20
as far as he's concerned,amennyire ő az érintett,,https://translate.google.com/#en/hu/as%20far%20as%20he's%20concerned
neat,"tiszta, csinos, rendes",,https://translate.google.com/#en/hu/neat
blunt,tompa,,https://translate.google.com/#en/hu/blunt
quirks,hirtelen fordulat,,https://translate.google.com/#en/hu/quirks
quirk,bemondás,,https://translate.google.com/#en/hu/quirk
timebox period where validating an idea,"timebox időszak, amikor egy ötlet érvényesítése",,https://translate.google.com/#en/hu/timebox%20period%20where%20validating%20an%20idea
I suppose,Feltételezem,,https://translate.google.com/#en/hu/I%20suppose
pristine,"ősi, eredeti állapot",,https://translate.google.com/#en/hu/pristine
beanstalk,babszár,,https://translate.google.com/#en/hu/beanstalk
to be on the same page around it,hogy ugyanazon az oldalon körülötte,,https://translate.google.com/#en/hu/to%20be%20on%20the%20same%20page%20around%20it
vague,homályos,,https://translate.google.com/#en/hu/vague
precautionary,elővigyázatossági,,https://translate.google.com/#en/hu/precautionary
measure,"intézkedés, mérték",,https://translate.google.com/#en/hu/measure
sentient,érző,,https://translate.google.com/#en/hu/sentient
hereby,ezennel,,https://translate.google.com/#en/hu/hereby
ferocious,kegyetlen,,https://translate.google.com/#en/hu/ferocious
trace,nyom,,https://translate.google.com/#en/hu/trace
insensitive,érzéketlen,,https://translate.google.com/#en/hu/insensitive
courtesy,udvariasság,,https://translate.google.com/#en/hu/courtesy
peer,egyenrangú,méltó párja valaminek,https://translate.google.com/#en/hu/peer
as far as I'm concerned,amennyire én vagyok érintett,,https://translate.google.com/#en/hu/as%20far%20as%20I'm%20concerned
stay tuned,maradjon velünk,,https://translate.google.com/#en/hu/stay%20tuned
scatter,szétszór,"elterjeszt, hint",https://translate.google.com/#en/hu/scatter
glimpse,megpillant,,https://translate.google.com/#en/hu/glimpse
folly,ostobaság,,https://translate.google.com/#en/hu/folly
splendor,ragyogás,,https://translate.google.com/#en/hu/splendor
abide,betartja,,https://translate.google.com/#en/hu/abide
heed,óvatosság,,https://translate.google.com/#en/hu/heed
conviction,"meggyőződés, ítélet",,https://translate.google.com/#en/hu/conviction
convictions,ítéletek,,https://translate.google.com/#en/hu/convictions
defiance,ellenszegülés,,https://translate.google.com/#en/hu/defiance
sully,beszennyez,,https://translate.google.com/#en/hu/sully
pawn,zálog,,https://translate.google.com/#en/hu/pawn
lure,csalétek,,https://translate.google.com/#en/hu/lure
retreat,visszavonulás,,https://translate.google.com/#en/hu/retreat
to console,vigasztalni,,https://translate.google.com/#en/hu/to%20console
contender,versenyző,,https://translate.google.com/#en/hu/contender
stick around,maradni,,https://translate.google.com/#en/hu/stick%20around
forthcoming,közelgő,,https://translate.google.com/#en/hu/forthcoming
deed,tett,,https://translate.google.com/#en/hu/deed
immense,óriási,,https://translate.google.com/#en/hu/immense
immerse,"elmerül, elmerít",,https://translate.google.com/#en/hu/immerse
skim up,lefölöz,,https://translate.google.com/#en/hu/skim%20up
disparate,teljesen eltérő,,https://translate.google.com/#en/hu/disparate
splendid,"pompás, ragyogó",,https://translate.google.com/#en/hu/splendid
submission,"behódolás, benyújtás",,https://translate.google.com/#en/hu/submission
lieutenant,hadnagy,,https://translate.google.com/#en/hu/lieutenant
lofty ideas,magasztos eszmék,,https://translate.google.com/#en/hu/lofty%20ideas
